customer_id,segment,region,acquisition_channel
10001,Consumer,West,Referral
10002,Small Business,East,Organic Search
10003,Consumer,West,Organic Search
10004,Small Business,South,Social Media
10005,Consumer,East,Organic Search
10006,Small Business,East,Social Media
10007,Consumer,East,Organic Search
10008,Consumer,East,Referral
10009,Consumer,West,Organic Search
10010,Consumer,East,Social Media
10011,Consumer,West,Paid Ads
10012,Small Business,East,Referral
10013,Consumer,East,Social Media
10014,Corporate,South,Referral
10015,Consumer,West,Organic Search
10016,Consumer,West,Organic Search
10017,Small Business,Central,Organic Search
10018,Consumer,South,Paid Ads
10019,Consumer,West,Email
10020,Consumer,South,Email
10021,Consumer,South,Paid Ads
10022,Small Business,South,Paid Ads
10023,Corporate,North,Email
10024,Consumer,West,Email
10025,Small Business,South,Social Media
10026,Consumer,North,Organic Search
10027,Consumer,North,Referral
10028,Small Business,East,Referral
10029,Corporate,East,Paid Ads
10030,Corporate,West,Social Media
10031,Corporate,East,Email
10032,Small Business,West,Referral
10033,Small Business,North,Organic Search
10034,Consumer,North,Referral
10035,Consumer,West,Referral
10036,Consumer,East,Referral
10037,Corporate,East,Referral
10038,Consumer,West,Organic Search
10039,Consumer,Central,Referral
10040,Consumer,East,Referral
10041,Small Business,South,Referral
10042,Corporate,East,Referral
10043,Consumer,Central,Organic Search
10044,Consumer,North,Organic Search
10045,Consumer,North,Social Media
10046,Consumer,North,Social Media
10047,Consumer,East,Referral
10048,Small Business,North,Paid Ads
10049,Small Business,Central,Organic Search
10050,Consumer,Central,Organic Search
10051,Consumer,East,Social Media
10052,Consumer,South,Social Media
10053,Consumer,East,Referral
10054,Consumer,North,Paid Ads
10055,Consumer,East,Email
10056,Consumer,Central,Organic Search
10057,Corporate,East,Paid Ads
10058,Corporate,East,Organic Search
10059,Corporate,South,Referral
10060,Consumer,Central,Email
10061,Small Business,West,Email
10062,Small Business,West,Social Media
10063,Consumer,Central,Social Media
10064,Consumer,West,Referral
10065,Consumer,North,Organic Search
10066,Consumer,West,Organic Search
10067,Consumer,North,Referral
10068,Consumer,Central,Referral
10069,Consumer,West,Email
10070,Consumer,West,Organic Search
10071,Consumer,North,Paid Ads
10072,Small Business,North,Organic Search
10073,Consumer,East,Paid Ads
10074,Corporate,South,Social Media
10075,Consumer,West,Referral
10076,Consumer,South,Paid Ads
10077,Consumer,South,Social Media
10078,Consumer,West,Organic Search
10079,Consumer,North,Social Media
10080,Consumer,East,Organic Search
10081,Consumer,Central,Referral
10082,Corporate,West,Social Media
10083,Consumer,West,Paid Ads
10084,Corporate,Central,Referral
10085,Consumer,South,Organic Search
10086,Consumer,East,Email
10087,Consumer,South,Social Media
10088,Corporate,Central,Social Media
10089,Small Business,Central,Social Media
10090,Small Business,East,Referral
10091,Consumer,Central,Social Media
10092,Small Business,Central,Referral
10093,Consumer,East,Organic Search
10094,Small Business,West,Paid Ads
10095,Consumer,South,Email
10096,Consumer,West,Social Media
10097,Consumer,West,Email
10098,Consumer,South,Referral
10099,Corporate,West,Organic Search
10100,Small Business,East,Organic Search
10101,Consumer,South,Organic Search
10102,Corporate,North,Email
10103,Corporate,West,Referral
10104,Consumer,Central,Social Media
10105,Consumer,South,Organic Search
10106,Consumer,North,Referral
10107,Consumer,Central,Referral
10108,Consumer,North,Email
10109,Consumer,West,Paid Ads
10110,Consumer,Central,Social Media
10111,Consumer,West,Social Media
10112,Small Business,Central,Social Media
10113,Consumer,South,Email
10114,Consumer,East,Organic Search
10115,Consumer,East,Social Media
10116,Consumer,North,Email
10117,Consumer,Central,Organic Search
10118,Consumer,West,Social Media
10119,Consumer,South,Referral
10120,Consumer,South,Organic Search
10121,Consumer,South,Social Media
10122,Consumer,East,Referral
10123,Corporate,West,Social Media
10124,Consumer,South,Organic Search
10125,Consumer,South,Paid Ads
10126,Consumer,North,Organic Search
10127,Small Business,Central,Email
10128,Consumer,Central,Organic Search
10129,Corporate,Central,Referral
10130,Corporate,North,Organic Search
10131,Consumer,East,Organic Search
