order_id,order_date,region_x,category,product,quantity,unit_price,discount,revenue,cost,profit,profit_margin,month,customer_id,segment,region_y,acquisition_channel,region
1,2025-03-29,Central,Home & Kitchen,Air Fryer,1,90.61,0.05,86.0795,47.0,39.079499999999996,0.45399311101946455,2025-03,10367,Consumer,South,Social Media,Unknown
2,2025-10-21,South,Clothing,Jacket,1,76.07,0.0,76.07,53.84,22.22999999999999,0.2922308400157748,2025-10,10489,Consumer,South,Organic Search,Unknown
3,2025-07-07,East,Electronics,Wireless Headphones,1,120.75,0.05,114.71249999999999,61.04,53.67249999999999,0.4678871090770404,2025-07,10011,Consumer,West,Paid Ads,Unknown
4,2025-01-21,North,Home & Kitchen,LED Lamp,1,70.42,0.0,70.42,47.74,22.68,0.3220675944333996,2025-01,10446,Consumer,North,Organic Search,Unknown
5,2025-04-02,West,Electronics,Power Bank,2,51.9,0.0,103.8,60.21,43.589999999999996,0.4199421965317919,2025-04,10114,Consumer,East,Organic Search,Unknown
6,2025-02-19,West,Electronics,Wireless Headphones,2,157.61,0.0,315.22,195.96,119.26000000000002,0.378338937884652,2025-02,10196,Consumer,East,Email,Unknown
7,2025-07-21,West,Home & Kitchen,Mixer Grinder,1,69.66,0.1,62.693999999999996,39.93,22.763999999999996,0.3630969470762752,2025-07,10323,Consumer,North,Referral,Unknown
8,2025-07-09,Central,Clothing,Jacket,1,56.03,0.05,53.2285,34.89,18.338499999999996,0.34452408014503505,2025-07,10512,Consumer,East,Social Media,Unknown
9,2025-06-06,Central,Home & Kitchen,Mixer Grinder,1,90.32,0.1,81.288,48.1,33.187999999999995,0.40827674441491973,2025-06,10165,Consumer,East,Email,Unknown
10,2025-03-04,East,Electronics,Bluetooth Speaker,1,122.89,0.05,116.74549999999999,69.62,47.12549999999999,0.4036600982478981,2025-03,10252,Consumer,Central,Organic Search,Unknown
11,2025-02-02,Central,Electronics,Power Bank,1,91.8,0.15,78.03,53.22,24.810000000000002,0.3179546328335256,2025-02,10044,Consumer,North,Organic Search,Unknown
12,2025-05-11,North,Beauty,Perfume,1,36.54,0.05,34.713,21.5,13.213000000000001,0.3806354967879469,2025-05,10470,Consumer,East,Organic Search,Unknown
13,2025-06-28,North,Beauty,Skin Care Kit,2,77.77,0.05,147.76299999999998,77.81,69.95299999999997,0.4734135067642102,2025-06,10489,Consumer,South,Organic Search,Unknown
14,2025-05-23,East,Home & Kitchen,LED Lamp,1,59.38,0.0,59.38,40.21,19.17,0.32283597170764566,2025-05,10181,Corporate,West,Organic Search,Unknown
15,2025-05-14,West,Electronics,Wireless Headphones,1,92.83,0.15,78.9055,57.61,21.295500000000004,0.26988612961073694,2025-05,10077,Consumer,South,Social Media,Unknown
16,2025-12-14,North,Beauty,Perfume,1,34.38,0.15,29.223000000000003,17.66,11.563000000000002,0.3956814837627896,2025-12,10374,Small Business,East,Referral,Unknown
17,2025-11-14,Central,Home & Kitchen,Air Fryer,1,49.77,0.0,49.77,32.79,16.980000000000004,0.34116937914406276,2025-11,10067,Consumer,North,Referral,Unknown
18,2025-04-06,North,Clothing,Jeans,1,39.31,0.15,33.4135,20.18,13.2335,0.39605249375252516,2025-04,10092,Small Business,Central,Referral,Unknown
19,2025-04-23,South,Home & Kitchen,Mixer Grinder,3,37.02,0.0,111.06,58.82,52.24,0.47037637313164055,2025-04,10244,Consumer,South,Social Media,Unknown
20,2025-05-06,South,Clothing,Jeans,1,54.59,0.0,54.59,37.39,17.200000000000003,0.3150760212493131,2025-05,10341,Consumer,East,Referral,Unknown
21,2025-09-12,Central,Clothing,Jeans,4,66.82,0.1,240.552,139.95,100.602,0.4182131098473511,2025-09,10304,Small Business,South,Social Media,Unknown
22,2025-07-20,West,Clothing,Jeans,1,37.29,0.1,33.561,24.42,9.140999999999998,0.2723697148475909,2025-07,10398,Consumer,North,Paid Ads,Unknown
23,2025-05-27,West,Clothing,Jacket,1,81.28,0.0,81.28,53.09,28.189999999999998,0.34682578740157477,2025-05,10448,Corporate,North,Social Media,Unknown
24,2025-12-26,North,Clothing,Jacket,2,68.45,0.05,130.055,85.14,44.915000000000006,0.3453538887393795,2025-12,10097,Consumer,West,Email,Unknown
25,2025-03-01,North,Clothing,Casual Shirt,1,67.53,0.1,60.777,40.38,20.397,0.33560392911792286,2025-03,10331,Small Business,East,Social Media,Unknown
26,2025-01-09,North,Electronics,Power Bank,3,78.64,0.05,224.124,167.97,56.153999999999996,0.25054880334100765,2025-01,10205,Consumer,South,Email,Unknown
27,2025-04-23,West,Home & Kitchen,LED Lamp,2,73.61,0.15,125.137,92.76,32.376999999999995,0.2587324292575337,2025-04,10449,Consumer,South,Social Media,Unknown
28,2025-06-02,Central,Sports,Fitness Band,1,84.39,0.05,80.17049999999999,61.28,18.89049999999999,0.23562906555403784,2025-06,10418,Corporate,North,Organic Search,Unknown
29,2025-10-16,Central,Home & Kitchen,Mixer Grinder,1,103.51,0.0,103.51,72.99,30.52000000000001,0.2948507390590282,2025-10,10077,Consumer,South,Social Media,Unknown
30,2025-02-02,West,Electronics,Power Bank,1,164.52,0.1,148.068,102.31,45.75800000000001,0.30903368722478863,2025-02,10425,Consumer,West,Social Media,Unknown
31,2025-10-13,North,Clothing,Jeans,1,68.53,0.1,61.677,44.82,16.857,0.2733109587042171,2025-10,10429,Consumer,Central,Email,Unknown
32,2025-01-04,East,Clothing,Jacket,2,51.31,0.0,102.62,66.68,35.94,0.35022412785032153,2025-01,10485,Consumer,East,Referral,Unknown
33,2025-10-29,Central,Beauty,Perfume,1,37.5,0.0,37.5,28.55,8.95,0.23866666666666664,2025-10,10135,Consumer,South,Organic Search,Unknown
34,2025-06-10,East,Clothing,Jacket,2,66.0,0.0,132.0,81.86,50.14,0.3798484848484849,2025-06,10254,Consumer,West,Paid Ads,Unknown
35,2025-09-30,North,Electronics,Wireless Headphones,1,81.44,0.0,81.44,48.6,32.839999999999996,0.40324165029469544,2025-09,10255,Consumer,East,Organic Search,Unknown
36,2025-12-21,South,Electronics,Smart Watch,1,166.69,0.0,166.69,121.76,44.92999999999999,0.26954226408302834,2025-12,10499,Corporate,South,Organic Search,Unknown
37,2025-12-20,South,Beauty,Face Serum,1,33.77,0.15,28.704500000000003,15.13,13.574500000000002,0.4729049452176488,2025-12,10484,Small Business,South,Referral,Unknown
38,2025-05-05,South,Home & Kitchen,Storage Set,1,77.14,0.05,73.283,48.44,24.843000000000004,0.3390008596809629,2025-05,10046,Consumer,North,Social Media,Unknown
39,2025-02-22,West,Beauty,Face Serum,1,34.71,0.0,34.71,22.76,11.95,0.3442811869778162,2025-02,10443,Consumer,West,Referral,Unknown
40,2025-12-16,East,Electronics,Wireless Headphones,1,156.59,0.1,140.931,80.41,60.521000000000015,0.42943710042503075,2025-12,10004,Small Business,South,Social Media,Unknown
41,2025-12-12,Central,Clothing,Jacket,1,53.35,0.05,50.6825,36.16,14.5225,0.28653874611552316,2025-12,10001,Consumer,West,Referral,Unknown
42,2025-02-27,South,Electronics,Smart Watch,2,103.66,0.1,186.588,116.87,69.71799999999999,0.3736467511308337,2025-02,10290,Small Business,North,Organic Search,Unknown
43,2025-03-10,Central,Electronics,Smart Watch,1,126.18,0.05,119.871,82.81,37.06099999999999,0.3091740287475703,2025-03,10109,Consumer,West,Paid Ads,Unknown
44,2025-10-12,West,Home & Kitchen,LED Lamp,1,92.94,0.0,92.94,51.23,41.71,0.44878416182483327,2025-10,10460,Consumer,South,Organic Search,Unknown
45,2025-09-07,South,Electronics,Wireless Headphones,1,101.55,0.05,96.4725,66.46,30.012500000000003,0.31109901785482913,2025-09,10266,Consumer,Central,Social Media,Unknown
46,2025-04-06,North,Sports,Fitness Band,1,84.96,0.05,80.71199999999999,55.1,25.611999999999988,0.3173258003766477,2025-04,10138,Consumer,Central,Referral,Unknown
47,2025-12-06,West,Clothing,Casual Shirt,1,58.07,0.0,58.07,39.04,19.03,0.32770793869467885,2025-12,10434,Corporate,Central,Referral,Unknown
48,2025-09-25,East,Home & Kitchen,LED Lamp,1,66.56,0.1,59.904,43.93,15.974000000000004,0.26665998931623935,2025-09,10044,Consumer,North,Organic Search,Unknown
