product,revenue,profit,quantity
Smart Watch,19349.713,6748.473,166
Wireless Headphones,18278.0975,6417.447499999999,158
Power Bank,17938.016,6279.256,167
Bluetooth Speaker,16783.719,5731.139,143
Mixer Grinder,10549.0715,3679.7415,147
LED Lamp,9260.3135,3038.3235,125
Air Fryer,8943.262,2981.652,122
Storage Set,8436.44825,3042.05825,118
Sneakers,7214.217,2501.777,142
Casual Shirt,7210.318499999999,2563.3685,140
Jacket,6697.618,2320.458,132
Jeans,6568.202,2326.442,133
Yoga Mat,5470.878,1911.508,98
Dumbbells,4489.73,1497.59,75
Fitness Band,4374.2595,1550.7495,74
Running Shoes,3785.862,1419.292,63
Skin Care Kit,3689.5454999999997,1322.3555,95
Face Serum,3354.3185,1136.3685,91
Hair Dryer,2944.784,1066.834,75
Perfume,2328.8965,813.4965,66
